manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
wesołość ;; stan emocjonalny charakteryzujący się radością, życzliwością i łatwością w wywoływaniu uśmiechu.
legenda ;; opowieść lub historia przekazywana ustnie lub pisaną, często ze zmyślonymi lub niepotwierdzonymi elementami, która ma na celu przekazanie ważnych wartości, nauk, czy też przekonań.
antysemityzm ;; postawa, przekonania lub działania mające na celu dyskryminację, prześladowanie lub nienawiść wobec żydów jako grupy etnicznej, religijnej lub kulturowej.
filmowanie ;; proces rejestracji obrazu i dźwięku za pomocą kamery w celu tworzenia filmu.
nurkowanie ;; aktywność polegająca na zanurzaniu się pod wodę, zazwyczaj za pomocą sprzętu oddechowego, w celu eksploracji podwodnego świata.
nonsens ;; treść, wypowiedź lub zachowanie pozbawione sensu, logicznego uzasadnienia lub sensownego znaczenia.
weto ;; formalne odmówienie zgody na podjęcie określonej decyzji lub działania, stosowane w celu zablokowania lub opóźnienia procesu decyzyjnego.
mówca ;; osoba, która zabiera głos publicznie w celu wygłoszenia przemówienia, wystąpienia lub prezentacji.
sądownictwo ;; system instytucji oraz procedur, które zajmują się rozstrzyganiem sporów oraz wymiarem sprawiedliwości na podstawie prawa.
osąd ;; ocena lub opinia wyrażana na temat czegoś lub kogoś, wynikająca z analizy i rozważenia faktów lub sytuacji.
start ;; początkowy moment lub etap, rozpoczęcie czegoś nowego lub aktywność inicjująca.
synonim ;; lub wyrażenie mające podobne znaczenie do innego wyrazu lub wyrażenia.
repertuar ;; zbiór utworów, dzieł lub sztuk scenicznych prezentowanych przez danego artystę lub zespół w określonym czasie i miejscu.
celuloza ;; polisacharyd będący głównym składnikiem strukturalnym ścian komórkowych roślin.
kropla ;; bardzo mała ilość płynu o kulistym kształcie.
autyzm ;; neurobiologiczny zaburzenie rozwoju, które objawia się trudnościami w komunikacji społecznej, uporządkowanym zachowaniu oraz ograniczonych zainteresowaniach i aktywnościach.
citroen ;; francuska marka samochodów, założona w 1919 roku przez andré citroëna, znana z innowacyjnego designu i nowatorskich rozwiązań technicznych.
komunikatywność ;; zdolność lub skłonność do efektywnej wymiany informacji, myśli i uczuć między osobami lub grupami ludzi.
keyboard ;; is a peripheral device used for inputting text and commands into a computer or other electronic device by pressing keys.
desant ;; operacja wojskowa polegająca na desantowaniu z powietrza, morza lub lądu sił zbrojnych celem szybkiego i zaskakującego ataku na nieprzyjaciela.
problem ;; sytuacja, która wymaga rozwiązania lub decyzji, zazwyczaj wiążąca się z trudnościami lub wyzwaniami do pokonania.
instruktaż ;; forma przekazywania wiedzy i umiejętności, mająca na celu nauczanie, szkolenie lub udzielanie instrukcji praktycznych w określonym zakresie tematycznym.
językoznawca ;; osoba zajmująca się badaniem struktury, historii i zastosowań języków, a także relacji między nimi.
skład ;; miejsce, w którym przechowywane są towary do momentu ich dalszego przetworzenia lub sprzedaży.
klawisz ;; fizyczny przycisk na klawiaturze lub innym urządzeniu, który po naciśnięciu wywołuje konkretne działanie lub wprowadza konkretny znak tekstowy.
chodnik ;; wydzielona część drogi przeznaczona dla pieszych.
sygnaturka ;; krótka treść, zwykle zawierająca imię, nazwisko, stanowisko lub inne dane osobowe, umieszczana na końcu wiadomości e-mailowej lub posta na forum internetowym.
szyna ;; element infrastruktury transportowej służący do prowadzenia pojazdów na określonym torze, przeważnie wykonany z metalu.
stres ;; reakcja organizmu na sytuacje wymagające adaptacji lub reakcji, związana z emocjonalnym napięciem i wysiłkiem fizycznym lub psychicznym.
obcowanie ;; proces nawiązywania i podtrzymywania relacji międzyludzkich poprzez interakcje, komunikację i wspólne działania.
narodowość ;; przynależność do określonej grupy ludzi posiadającej wspólne cechy kulturowe, historyczne i językowe, które identyfikują się ze wspólnym pochodzeniem etnicznym lub geograficznym.
przejazd ;; część drogi przeznaczona do poruszania się pojazdów.
odprawa ;; procedura rejestrowania i sprawdzania pasażerów oraz ich bagaży przed lotem lub podróżą pociągiem.
uzależnienie ;; stan, w którym organizm lub umysł staje się zależny od substancji lub działania, co prowadzi do silnego pragnienia i trudności w kontrolowaniu zachowań.
sola ;; włoskie określenie oznaczające ""sól"". może odnosić się do klasycznej soli kuchennej lub do innych rodzajów soli wykorzystywanych w produkcji żywności.
potwierdzenie ;; uznanie lub zatwierdzenie prawdziwości lub istnienia czegoś.
osocze ;; płynna część krwi, w której znajdują się substancje odżywcze, białka, hormony, przeciwciała oraz inne składniki niezbędne do transportu składników odżywczych i tlenu oraz usuwania produktów przemiany materii.
anarchia ;; stan społeczny, charakteryzujący się brakiem centralnego rządu lub władzy, gdzie jednostki działają w sposób samodzielny i autonomiczny, niepodporządkowując się żadnym instytucjom czy normom.
burza ;; nagłe i gwałtowne zjawisko atmosferyczne, charakteryzujące się silnymi wiatrami, opadami deszczu, gradem, a czasem także błyskawicami i grzmotami.
geodezja ;; nauka zajmująca się określaniem położenia i kształtu powierzchni ziemi oraz opracowywaniem map i planów geodezyjnych.
napis ;; zapisana forma językowa składająca się z liter, cyfr lub innych znaków, służąca do przekazywania informacji lub treści.
przedmieście ;; obszar miejski położony na obrzeżach miasta, charakteryzujący się mieszkalną zabudową oraz dostępnością usług i infrastruktury miejskiej.
okulary ;; przedmiot służący do korygowania wzroku lub ochrony oczu przed szkodliwym promieniowaniem.
ranczo ;; nazwa wiejskiej posiadłości, gospodarstwa lub zagrody, zazwyczaj zlokalizowanej na obrzeżach lub poza miastem.
delegat ;; osoba lub grupa osób wysłana w imieniu innych do reprezentowania ich interesów lub podejmowania decyzji.
harmonijka ;; instrument muzyczny z grupy aerofonów, składający się z blaszanej ramki zawierającej stroiki, które generują dźwięk pod wpływem dmuchania przez ustnik.
kołek ;; element służący do łączenia, mocowania lub podpierania części konstrukcji, zwykle w postaci cylindra lub stożka.
obligatoryjność ;; cecha lub stan bycia obowiązkowym, wymaganym lub koniecznym.
ukrwienie ;; proces zapewnienia dostępu do krwi poprzez naczynia krwionośne, a także zjawisko obecności krwi w tkankach organizmu.
ukąszenie ;; przerwanie bądź przekłucie skóry lub tkanki przez użądlenie lub ugryzienie przez ząb lub żądło zwierzęcia lub owada, zazwyczaj powodujące ból, obrzęk i miejscowe podrażnienie.
siemię ;; nasiona oleiste roślin, takie jak len, konopie czy rzepak, które są wykorzystywane w kuchni i przemyśle.
bańka ;; mała objętość gazów lub cieczy otoczona cienką warstwą plastikową lub mydlaną.
uposażenie ;; suma środków pieniężnych i dóbr ruchomych przekazywanych danej osobie w związku z jej zatrudnieniem lub zawarciem umowy o pracę.
jogging ;; forma aktywności fizycznej polegająca na bieganiu wolnym tempem.
gospodarowanie ;; efektywne zarządzanie zasobami, mające na celu optymalne wykorzystanie dostępnych środków, czasu i przestrzeni w celu osiągnięcia określonych celów.
owies ;; roślina z rodziny wiechlinowatych, uprawiana głównie jako roślina pastewna oraz jako roślina zbożowa.
transparent ;; means allowing light to pass through so that objects behind can be distinctly seen. it can also refer to something that is easily understood or perceived.
felietonista ;; osoba zajmująca się pisaniem felietonów, czyli krótkich tekstów publicystycznych, w których wyraża swoje opinie, komentarze lub refleksje na różnorodne tematy.
niepokój ;; stan emocjonalny charakteryzujący się poczuciem niepewności, obawy lub niepokoju. może być związany z różnymi sytuacjami życiowymi, które wywołują stres lub niepewność.
kropka ;; mały, okrągły znak interpunkcyjny oznaczający koniec zdania.
cabernet ;; rodzaj winogron pochodzący z rodziny vitis vinifera, uprawiany w celu produkcji wysokiej jakości wina czerwonego.
emir ;; tytuł używany przez arabskich władców lub lokalnych gubernatorów.
obuwie ;; rodzaj odzieży, którym określa się wszelkie rodzaje obuwia, czyli przedmioty noszone na stopie w celu ochrony i wygody.
bombardowanie ;; działanie polegające na intensywnym i systematycznym ostrzeliwaniu danego obszaru lub celu za pomocą broni artyleryjskiej, lotniczej lub rakietowej.
stoisko ;; niewielka konstrukcja przeznaczona do prezentacji i sprzedaży produktów lub usług na targach, festiwalach, czy jarmarkach.
uczynek ;; uczynkiem nazywamy dobrowolne zachowanie, akcję lub decyzję podejmowaną przez osobę, mającą wpływ na innych lub przynoszącą skutki, pozytywne lub negatywne.
tron ;; wysokim siedziskiem, zazwyczaj ozdobnym, na którym zasiada władca lub monarcha.
atrakcja ;; obiekt, miejsce lub zdarzenie, które przyciąga uwagę, cieszy oko lub dostarcza rozrywki.
kombajn ;; maszyna rolnicza przeznaczona do zbioru zbóż i innych upraw rolnych.
dziedziczka ;; kobieta, która odziedziczyła majątek, tytuł lub inne prawa po zmarłym krewnym.
zadłużenie ;; sytuacja, w której osoba, przedsiębiorstwo lub instytucja posiada długi, czyli zobowiązania finansowe, które muszą zostać spłacone w określonym czasie.
natężenie ;; wielkość fizyczna określająca ilość energii przepływającej przez daną powierzchnię lub przekrój w danym czasie, wyrażana w amperach.
obrzydzenie ;; silne odczucie niechęci, wstrętu lub odrazy.
gotówka ;; fizyczną formą pieniądza w postaci banknotów i monet, stanowiąca natychmiastowy i bezgotówkowy środek płatniczy.
instruktor ;; osoba posiadająca odpowiednie kwalifikacje i umiejętności, która przekazuje wiedzę i umiejętności innym, zazwyczaj w ramach kursu, szkolenia lub lekcji.
umowa ;; formalna wola dwóch lub więcej stron, które zobowiązują się do określonych czynności lub świadczeń.
ciekawość ;; naturalna ludzka cecha polegająca na chęci zgłębiania nowych informacji, odkrywania oraz poszukiwania wiedzy.
atest ;; oficjalne potwierdzenie, zwykle w formie dokumentu, które świadczy o spełnieniu określonych norm, wymagań lub standardów przez produkt lub usługę.
bezprzedmiotowość ;; stan lub sytuacja, w której brakuje określonego przedmiotu, celu lub obiektu. może być także interpretowana jako brak istotnych treści albo zawartości.
znajda ;; regionalne, potoczne określenie na osobę, która nie pracuje zawodowo, żyjąc z niewielkich zarobków lub z zasiłków.
log ;; zapis informacji lub danych dotyczących zdarzeń, transakcji lub działań, zwykle w formie uporządkowanej chronologicznie. ."
takt ;; umiejętność odpowiedniego postępowania w sytuacjach społecznych oraz zdolność okazywania wrażliwości na potrzeby i uczucia innych ludzi.
całun ;; lekki materiał wykonany z cienkiego płótna lub jedwabiu, służący do okrywania ciała lub rzeczy, często używany w celach dekoracyjnych lub religijnych.
zdolność ;; umiejętność lub talent do wykonywania określonych zadań lub czynności.
filtrowanie ;; proces wybierania, segregowania lub odsiewania danych, informacji lub elementów z większego zbioru zgodnie z określonym kryterium lub regułami.
gołąb ;; popularna, średniej wielkości ptak z rodziny gołębiowatych, charakteryzująca się krępym ciałem, krótkimi nogami i długimi skrzydłami.
nieopłacalność ;; sytuacja, w której koszty przewyższają potencjalne zyski, co sprawia, że dana czynność, inwestycja lub decyzja nie jest opłacalna lub nieopłacalna.
pauza ;; okres przerwy od wykonywania jakiejś czynności, zwykle służący do odpoczynku, relaksu lub regeneracji sił.
ewentualność ;; możliwość zajścia lub wystąpienia danej sytuacji, zdarzenia lub okoliczności.
obłok ;; zjawisko atmosferyczne składające się z widocznej mgiełki lub skupiska kropel wody lub kryształków lodu unoszących się w powietrzu.
hymn ;; uroczysta pieśń religijna lub patriotyczna, mająca na celu wyrażenie czci, uwielbienia lub podziękowania.
patyk ;; cienki i zazwyczaj prosty kawałek drewna lub gałązka, wykorzystywany na przykład do rozwieszania prania, podpierania roślin czy znakowania ścieżek.
pani ;; tytuł lub forma grzecznościowa używana wobec kobiety, zwykle starszej lub poważanej.
trafienie ;; sytuacja, w której celny strzał, rzut lub uderzenie trafia w zamierzony cel.
demokrata ;; osoba popierająca zasady demokracji oraz dążąca do równości w społeczeństwie, przestrzegająca praw obywatelskich i wspierająca rządy oparte na woli większości.
wyłącznik ;; urządzenie służące do przerywania obwodu elektrycznego w celu odłączenia go od zasilania.
jaz ;; muzyka ludowa pochodząca z hiszpanii, charakteryzująca się szybkimi rytmami i energetycznym tańcem flamenco.
chorąży ;; stopień wojskowy, pełniący funkcję oficera łącznikowego pomiędzy dowódcą jednostki a żołnierzami, odpowiedzialny m.in. za zachowanie dyscypliny i porządku.
parkowanie ;; czynność polegająca na zatrzymywaniu pojazdu na określonym obszarze, zazwyczaj przy użyciu specjalnie wyznaczonych miejsc parkingowych.
ubranko ;; mały element odzieży, służący do przykrycia ciała lub jego części.
powstaniec ;; osoba biorąca udział w zrywie powstańczym przeciwko obcej władzy lub okupacji.
żel ;; substancją o konsystencji zbliżonej do galarety, składającą się z cieczy zamkniętej w sieci polimerów.
powstanie ;; proces, w wyniku którego coś jest tworzone, zaczyna istnieć lub wyłania się z istniejących elementów.
prozaik ;; osoba zajmująca się tworzeniem utworów prozatorskich, czyli tekstów pisanych w formie prozy, nie wierszem.
jednoznaczność ;; cecha lub stan, w którym istnieje tylko jedno możliwe rozwiązanie, interpretacja lub sposób zrozumienia danego zagadnienia.
lawa ;; stopiona skała wulkaniczna o temperaturze powyżej 700 stopni celsjusza, wyrzucona z wnętrza ziemi podczas erupcji wulkanicznej.
wampir ;; mityczne stworzenie lub istota z folkloru, która według legendy żywi się krwią ludzi i zazwyczaj jest przedstawiana jako nieumarły, często posiadający zdolności hipnotyzowania czy zmiany postaci.
oś ;; linia prosta, wokół której dokonuje się ruch obrotowy ciała lub figury geometrycznej.
dwojaki ;; przymiotnik określający istnienie dwóch różnych rodzajów, aspektów lub kategorii w jednej rzeczy lub sytuacji.
okup ;; suma pieniędzy lub wartościowych przedmiotów, która jest żądana w zamian za uwolnienie porwanego lub jako forma wymuszenia na ofiarze przestępstwa.
